match_id,team_id,minute,second,taker_id,keeper_id,foot,is_goal
x6Qa3Jg,EPkbL,58,37,qD3OondXoWab,p1A0Ov4bA,right,TRUE
EX1JrQg,Bx4AL,67,26,qJ9pZe1PlA2veee,p1A0Ov4bA,right,TRUE
g9j3yYx,EPkbL,81,8,qjyN6704GA3eee,p1A0Ov4bA,left,TRUE
EA328ax,xYnYL,87,21,qrvM40e9ORWDe,p1A0Ov4bA,right,TRUE
gKpON8x,jL85E,46,33,q7j80aqGpA9veve,prBJW2Gwn,right,TRUE
LQKyB4g,EjQQL,87,43,q5nJJBvBZ4Yeee,prBJW2Gwn,right,FALSE
LQKyB4g,EjQQL,65,16,e9kkGyMbWWWpp,prBJW2Gwn,right,FALSE
gkMmwkL,Vg9zx,64,58,qKdd5RA3BQOeee,prBJW2Gwn,right,FALSE
LVJ0lZL,jL85E,86,13,qPlrMDKOe7mee,rWja9B9O0Y,right,TRUE
xbyB2Vg,0LzWE,80,10,ybnj4n5bGD,rWja9B9O0Y,right,TRUE
g0keVPE,g057x,81,14,qwkDvJmabQWee,35oyzGz394A,right,TRUE
LVppYag,gWKWg,42,24,q5Om73pA7Wze6e,35oyzGz394A,right,TRUE
LpJDoeg,GL2Qx,60,42,qOwZKqOwDJMee,35oyzGz394A,right,TRUE
LR9DQDx,6gKRE,50,21,qwVN8GvNryDee,35oyzGz394A,left,FALSE
xbyPvBg,PEjDx,82,36,L8jrZnAl,35oyzGz394A,right,FALSE
EqObndx,EAo7x,87,40,qr3Bo78z36pveee,35oyzGz394A,right,FALSE
EdGN52L,gWKWg,26,22,q5Om73pA7Wze6e,35oyzGz394A,right,TRUE
LBZ8XWL,EDbrx,58,18,envdlroNPYlpppr,35oyzGz394A,right,TRUE
LmQmW7L,gKlax,35,38,qAX33B2AO567e,35oyzGz394A,left,FALSE
gGvKyeE,EDbrx,55,57,qJJJkd1YYyo6e,35oyzGz394A,left,FALSE
Ew9jGBx,PEjDx,90,33,L8jrZnAl,35oyzGz394A,right,TRUE
