match_id,team_id,minute,second,taker_id,keeper_id,foot,is_goal
x6Qa3Jg,EPkbL,58,37,bEXQP0gd,8zLV8dgY,right,TRUE
EX1JrQg,Bx4AL,67,26,JEyY1jEk,8zLV8dgY,right,TRUE
EA328ax,xYnYL,87,21,yx6657x9,8zLV8dgY,right,TRUE
g9j3yYx,EPkbL,81,8,Ygkjl0Ed,8zLV8dgY,left,TRUE
gkMmwkL,Vg9zx,64,58,7EAJkKg4,KZgnMpEp,right,FALSE
gKpON8x,jL85E,46,33,3EeX1OL4,KZgnMpEp,right,TRUE
LQKyB4g,EjQQL,87,43,jL8045L2,KZgnMpEp,right,FALSE
LQKyB4g,EjQQL,65,16,4Ew4Opgp,KZgnMpEp,right,FALSE
LVJ0lZL,jL85E,86,13,3EeD6pL4,DPLlKZxM,right,TRUE
xbyB2Vg,0LzWE,80,10,nGLRvbLj,DPLlKZxM,right,TRUE
g7njzoE,6gKRE,58,40,RxY6rnLZ,JlLNRWLD,left,TRUE
LR9DQDx,6gKRE,50,21,MxMaAyxr,JlLNRWLD,left,FALSE
LBZ8XWL,EDbrx,58,18,0g7d1Zxd,JlLNRWLD,right,TRUE
L8DJN5L,grJ5g,18,47,17EAVbg4,JlLNRWLD,right,TRUE
EZWPMeg,6gKRE,48,1,1RxYnYLZ,JlLNRWLD,left,TRUE
LVppYag,gWKWg,42,24,0gJnw8gj,JlLNRWLD,right,TRUE
gGvKyeE,EDbrx,55,57,zLVOXZEY,JlLNRWLD,left,FALSE
g0keVPE,g057x,81,14,5x3leoLq,JlLNRWLD,right,TRUE
LmQmW7L,gKlax,35,38,1goOVBg9,JlLNRWLD,left,FALSE
LpJDoeg,GL2Qx,60,42,QEZWGzge,JlLNRWLD,right,TRUE
EdGN52L,gWKWg,26,22,0gJnw8gj,JlLNRWLD,right,TRUE
L2MWr6x,bg0Qx,70,52,0gJjq8gj,JlLNRWLD,right,FALSE
Ew9jGBx,PEjDx,90,33,17EAP7L4,JlLNRWLD,right,TRUE
EqObndx,EAo7x,87,40,0LzB9BLz,JlLNRWLD,right,FALSE
xbyPvBg,PEjDx,82,36,17EAP7L4,JlLNRWLD,right,FALSE
LO8oqoE,GLRPg,49,38,bg0ybPxj,KZgn95Ep,left,TRUE
xbyBRqg,GLRPg,85,48,yLQwykgD,KZgn95Ep,right,TRUE
gW0DNqx,0LzWE,32,33,nGLRvbLj,KZgn95Ep,right,TRUE
goDXeex,x4Kwg,86,48,6gKZ8mEQ,vgrvA0gk,left,TRUE
xvwPAVL,EykPx,54,20,pgWn2dEy,vgrvA0gk,right,TRUE
gKd3m9x,EZvzE,84,3,Vg9Ae4g3,vgrvA0gk,right,TRUE
xvwPAyL,EZpRx,36,15,7EAK97x4,vgrvA0gk,right,TRUE
goDXYqx,LQBbE,32,34,Vg9O6zL3,vgrvA0gk,right,TRUE
LzMPr4x,g9Z3x,31,56,GL2N3OLP,vgrvA0gk,left,TRUE
x5j5PRL,xvyDg,86,0,yx6elQrg,vgrvA0gk,right,TRUE
EqOPqox,x35zE,20,53,VgaGMWLa,vgrvA0gk,left,TRUE
EenvKrg,xY8kg,66,34,DPLlpRLM,3EeA6KE4,right,FALSE
xY7GYkE,xY7nE,83,22,YgkvjdJE,3EeA6KE4,left,TRUE
g9QZd3g,ED4mE,31,7,GLRJ5vLj,3EeA6KE4,right,TRUE
gr5aV0E,EjQQL,57,5,jL8045L2,3EeA6KE4,right,TRUE
xvwG57L,x5oeE,71,26,yLQNbwED,3EeA6KE4,left,FALSE
gJ8zz2L,x6m7g,81,13,3EenvQg4,3EeA6KE4,left,TRUE
Eyak6aE,EAwjx,82,2,GLOyl5gD,3EeA6KE4,right,FALSE
Ey7NwJx,EAnag,63,7,1go0K9x9,3EeA6KE4,left,TRUE
x69kBmg,x5YPx,44,38,1x5AbWqx,3EeA6KE4,right,TRUE
EjQOaAL,xY7nE,39,9,yx6Jnax9,3EeA6KE4,right,TRUE
LOp046E,EjQQL,5,36,0Lp2vngd,yx6enzg9,right,TRUE
LNZPW7L,gaQ8g,6,45,vgrZ53gk,MxMoRnEr,right,TRUE
grJ3n0g,GL2Qx,5,44,YgkQRqLd,MxMoRnEr,left,TRUE
LV8y67g,EeM6E,62,17,8JEy9DEk,MxMoRnEr,left,TRUE
gr5nD3E,PEjDx,20,32,17EAP7L4,MxMoRnEr,right,TRUE
xYWjKpE,EjYZL,56,11,GLmA4oLj,MxMoRnEr,right,TRUE
LlpjPDL,5x3zg,73,33,ZgnzZ5gp,MxMoRnEr,right,TRUE
EX1Pr2g,EDbrx,75,18,0LzByWLz,MxMoRnEr,right,FALSE
LO8PRoE,gWKWg,30,25,pgWOy5gy,MxMoRnEr,right,TRUE
Ewo1yVE,g057x,11,55,NEdn6GVx,MxMoRnEr,left,TRUE
LBABQ6x,PEjDx,46,10,17EAP7L4,MxMoRnEr,right,TRUE
